"likely_id","cc_property_id","attom_id","broker","mls_name","status","date","year_built","StatusPrediction","Confidence","P(status=Active)Individualprobability","P(status=Sale)Individualprobability"
22536211,496415988,,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-27 00:00:00",,"Sale",0.9336701797574969,0.06632982024250321,0.9336701797574969
475222,7341032,30001766,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-25 00:00:00",,"Active",0.9441672541328037,0.9441672541328037,0.05583274586719626
457212,7119692,24839575,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-25 00:00:00",,"Active",0.9749744209890437,0.9749744209890437,0.02502557901095623
466272,7234310,35578256,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-17 00:00:00",,"Active",0.97599033021587,0.97599033021587,0.024009669784130033
21720285,477612558,149774774,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-19 00:00:00",,"Active",0.9438764968593888,0.9438764968593888,0.05612350314061129
25942298,7992860,44592542,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-08 00:00:00",,"Sale",0.9713128663447381,0.02868713365526181,0.9713128663447381
16956968,278286386,21299313,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-25 00:00:00",,"Active",0.9462459910248785,0.9462459910248785,0.05375400897512143
499535,7671134,2891946,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-25 00:00:00",,"Active",0.937868115583878,0.937868115583878,0.06213188441612207
507901,7781837,4997564,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-25 00:00:00",,"Active",0.937868115583878,0.937868115583878,0.06213188441612207
507904,7781837,4997564,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-30 00:00:00",,"Sale",0.9586354757521787,0.041364524247821395,0.9586354757521787
17015430,282117668,8543087,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-25 00:00:00",,"Active",0.937868115583878,0.937868115583878,0.06213188441612207
17015434,282117668,8543087,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-30 00:00:00",,"Sale",0.9586354757521787,0.041364524247821395,0.9586354757521787
